,Date,Score Type,Visitor Team,VisitorPts,Home Team,HomePts,OT?,Notes
0,7:00 PM,Box Score,Orlando Magic,87,Indiana Pacers,97,,
1,10:30 PM,Box Score,Los Angeles Clippers,103,Los Angeles Lakers,116,,
2,8:00 PM,Box Score,Chicago Bulls,95,Miami Heat,107,,
3,7:00 PM,Box Score,Brooklyn Nets,94,Cleveland Cavaliers,98,,
4,8:30 PM,Box Score,Atlanta Hawks,109,Dallas Mavericks,118,,
5,7:30 PM,Box Score,Washington Wizards,102,Detroit Pistons,113,,
6,10:30 PM,Box Score,Los Angeles Lakers,94,Golden State Warriors,125,,
7,8:00 PM,Box Score,Charlotte Bobcats,83,Houston Rockets,96,,
8,8:00 PM,Box Score,Orlando Magic,115,Minnesota Timberwolves,120,OT,
9,8:00 PM,Box Score,Indiana Pacers,95,New Orleans Pelicans,90,,
10,7:30 PM,Box Score,Milwaukee Bucks,83,New York Knicks,90,,
11,7:00 PM,Box Score,Miami Heat,110,Philadelphia 76ers,114,,
12,10:00 PM,Box Score,Portland Trail Blazers,91,Phoenix Suns,104,,
13,10:00 PM,Box Score,Denver Nuggets,88,Sacramento Kings,90,,
14,8:30 PM,Box Score,Memphis Grizzlies,94,San Antonio Spurs,101,,
15,7:00 PM,Box Score,Boston Celtics,87,Toronto Raptors,93,,
16,9:00 PM,Box Score,Oklahoma City Thunder,101,Utah Jazz,98,,
17,8:00 PM,Box Score,New York Knicks,81,Chicago Bulls,82,,
18,10:30 PM,Box Score,Golden State Warriors,115,Los Angeles Clippers,126,,
19,7:30 PM,Box Score,Toronto Raptors,95,Atlanta Hawks,102,,
20,7:30 PM,Box Score,Milwaukee Bucks,105,Boston Celtics,98,,
21,8:00 PM,Box Score,Miami Heat,100,Brooklyn Nets,101,,
22,7:00 PM,Box Score,Cleveland Cavaliers,84,Charlotte Bobcats,90,,
23,9:00 PM,Box Score,Portland Trail Blazers,113,Denver Nuggets,98,,
24,8:00 PM,Box Score,Dallas Mavericks,105,Houston Rockets,113,,
25,10:30 PM,Box Score,San Antonio Spurs,91,Los Angeles Lakers,85,,
26,8:00 PM,Box Score,Detroit Pistons,108,Memphis Grizzlies,111,OT,
27,8:00 PM,Box Score,Oklahoma City Thunder,81,Minnesota Timberwolves,100,,
28,7:00 PM,Box Score,New Orleans Pelicans,90,Orlando Magic,110,,
29,10:00 PM,Box Score,Utah Jazz,84,Phoenix Suns,87,,
30,10:00 PM,Box Score,Los Angeles Clippers,110,Sacramento Kings,101,,
31,7:00 PM,Box Score,Philadelphia 76ers,109,Washington Wizards,102,,
32,8:30 PM,Box Score,Memphis Grizzlies,99,Dallas Mavericks,111,,
33,10:30 PM,Box Score,Sacramento Kings,87,Golden State Warriors,98,,
34,7:00 PM,Box Score,Cleveland Cavaliers,74,Indiana Pacers,89,,
35,8:30 PM,Box Score,Toronto Raptors,97,Milwaukee Bucks,90,,
36,8:00 PM,Box Score,Charlotte Bobcats,84,New Orleans Pelicans,105,,
37,7:30 PM,Box Score,Chicago Bulls,104,Philadelphia 76ers,107,,
38,10:00 PM,Box Score,San Antonio Spurs,105,Portland Trail Blazers,115,,
39,9:00 PM,Box Score,Houston Rockets,104,Utah Jazz,93,,
40,6:00 PM,Box Score,Boston Celtics,77,Detroit Pistons,87,,
